Text,Type,Answer1,answerResult1,Answer2,answerResult2,Answer3,answerResult3,Answer4,answerResult4,Answer5,answerResult5,Answer6,answerResult6,Explanation,Weblink,Source,Tags
Linear Search kann sowohl bei sortierten als auch bei unsortierten Arrays verwendet werden.,True/False,Wahr,correct,Falsch,incorrect,,,,,,,,,,Search Algorithms
Was ist die Zeitkomplexität von Linear Search?,Single Choice,O(1),incorrect,O(n),correct,O(log n),incorrect,O(n log n),incorrect,,,,,,Search Algorithms:Time Complexity
Welcher der folgenden Punkte ist ein entscheidender Vorteil von Binary Search gegenüber Linear Search?,Single Choice,Einfachheit,incorrect,Kann bei unsortierten Arrays verwendet werden,incorrect,Schneller bei großen sortierten Arrays,correct,Weniger Speicherverbrauch,incorrect,,,,,,Search Algorithms:Advantages
"Was passiert, wenn Binary Search auf ein unsortiertes Array angewendet wird?",Single Choice,Es wird das gesuchte Element dennoch effizient finden.,incorrect,Es wird einen Fehler ausgeben.,incorrect,Es wird das gesuchte Element möglicherweise nicht korrekt finden.,correct,Es wird das Array zuerst sortieren und dann suchen.,incorrect,,,,,,Search Algorithms:Behavior
"Die schlechteste Zeitkomplexität von Linear Search tritt auf, wenn sich das gesuchte Element am Ende des Arrays befindet oder gar nicht vorhanden ist.",True/False,Wahr,correct,Falsch,incorrect,,,,,,,,,,Search Algorithms:Time Complexity
"Welcher der beiden Suchalgorithmen wird bei einem sortierten Array typischerweise besser abschneiden, wenn die Größe des Arrays zunimmt?",Single Choice,Linear Search,incorrect,Binary Search,correct,Beide sind gleich schnell,incorrect,Es hängt von den Elementen im Array ab,incorrect,,,,,,Search Algorithms:Performance
Wie wird der algorithmische Ansatz von Binary Search genannt?,Multiple Choice,Dynamische Programmierung,incorrect,Divide and Conquer,correct,Greedy,incorrect,Backtracking,incorrect,,,,,,Search Algorithms:Approach
"Welche der folgenden Bedingungen müssen erfüllt sein, damit Binary Search korrekt funktioniert? (Wählen Sie alle zutreffenden Antworten aus)",Multiple Choice,Das Array muss sortiert sein.,correct,Das Array muss eine feste Größe haben.,incorrect,Es dürfen keine doppelten Elemente vorhanden sein.,incorrect,Das gesuchte Element muss innerhalb des Wertebereichs des Arrays liegen.,correct,,,,,,Search Algorithms:Requirements
"Was passiert, wenn Binary Search auf ein sortiertes Array mit mehreren Vorkommen des gesuchten Elements angewendet wird?",Single Choice,Es findet immer das erste Vorkommen.,incorrect,Es findet immer das letzte Vorkommen.,incorrect,Es kann eines der Vorkommen finden.,correct,Es findet alle Vorkommen.,incorrect,,,,,,Search Algorithms:Behavior
Was ist das schlechteste Szenario für Binary Search in einem sortierten Array? (Wählen Sie alle zutreffenden Antworten aus),Multiple Choice,Das gesuchte Element liegt genau eins vom Mittelpunkt des Arrays entfernt.,correct,Das gesuchte Element befindet sich am Anfang des Arrays.,incorrect,Das gesuchte Element befindet sich am Ende des Arrays.,incorrect,Das gesuchte Element ist nicht im Array vorhanden.,correct,,,,,,Search Algorithms:Worst Case
"Wenn Binary Search das gesuchte Element in einem Array nicht findet, kann es definitiv bestimmen, dass das Element nicht vorhanden ist.",True/False,Wahr,incorrect,Falsch,correct,,,,,,,,,,Search Algorithms
Was ist die Zeitkomplexität von Binary Search?,Single Choice,O(1),incorrect,O(n),incorrect,O(log n),correct,O(n log n),incorrect,,,,,,Search Algorithms:Time Complexity
